content,score
Jangan kebanyakan ngasih. Match yang gaadil bikin stres playernya kalo bikin match jangan lawan nya jago temennya yang kek bot benerin dulu matchmaking biar adil😡,1
ML SEMOGA DI NERAKA NGESELIN MOONTON ORANG KAFIR LU MOONTOD,1
Saya pengen mytic tapi tim dan musuh beda jauh dari segi kemampuan ada banyak ex glory ataupun imo kasih sekali mytic montoon,5
Kalo aku bertemu monton aku bunuh gara² aku di kasih kalah mulu🤬😡🤬🤬🤬🤬🤬🤬🖕🤬🤬🤬🤬🤬🤬,1
Game busuk dikasih tim bott terus giliran musuhnya jago semua.,1
Sistem kau itu baiki bodoh orang lagi push mmr Nemu team gajelS Tolol lu ya event dibanyakin sistem rusak pepek,1
Makin abdet main jelek tolol mana burik anjig udh penyimpanan penuh tolol,1
"s30 waras ga si dark system nya? baru awal season aja dark system nya uda aduuhhh, cape dah dapet tim ga setara sama musuh kaya cara main tim aja aneh tapi musuh nya jago', padahal game itu buat hiburin but ini game beda lagi malah nambah stres",1
Nice aplikasi game,5
"Moonton coba lu kasih musuh yang sewajar aja sama pangkat gw🗿 Nih lagi kalo udh mau naik legend dikit lgi pasti dapet musuh nya ga ngotak,cape gw.",1
Seru perang tempurnya jgn salah pilih games mobile legenya bisa d atur klu udh updek GK bakalan ngecewakan kalian semua aku BRI level Bingtang lima..,5
Game kocok,1
Sinyalnya bosku,3
Gajelas Dapet Tim nya MOONTON PLERR,1
Apalah tim ama lawan ngk seimbang,1
Game makin hari makin ga jelasss setiap match 2k ke atas selalu dapet team di bawa match 1k cobalah di rubah sedikit jangan bikin emosi lu moonton dasar game babi ga jls,1
🧐🧐🧐🧐🧐🧐🧐,5
"Game busuk, lose streak gx ngotak",1
Tolong perbaikan bug hero zhask. Lama lama gue unistal ni apk mobile ngejem gak sesuai harapan,1
Game bagus bangetttttttooddddddd,1
"MONTOON gimana si lu becus bikin game ga? Orang yg nge trol hukumannya cuma kredit skor doang ngurang, terus yang nge bacotin dia nge troll lu mute, lu ada otak ga?",1
Aku tidak afk kau bilang afk. Poinn berkurang ......e ek kalian,1
Semoga game ini sukses menjadi game terfavorit dikalangan pemuda,5
BUG TRUSS,1
GAME KONTOL,1
Coba ngasih tim tuh yang bener dikit ke gimana orang mau seneng sama game ini tim sama musuh beda jauh menang 2 kali kalah 5 kali,1
Karepmu dewe,5
Setan njing babi.. Main di epic trus dasar montoon asuu,1
Gw rating lu 1 bintang karna lo ngasi tim yg ga benar mulu sementara musuh lo kasi yg gg,1
Muntun gk jelas gua main login ulang melulu dah sepe sini aja gua pensi capek 😒,1
Gamer yg sangat bagus na menarik aku suka,4
Mohon maaf jika anda ingin sukses jangan memperas pemain Dan jangan sampai kalian memberi dark sistem karna game anda satu ini bisa bikin stres dan melemahkan otak,2
ML ANJG TUHAN TIBA GW MAEN RANK SINYAL GW ILANG PAS GW GA MAIN LAGI TIBA TIBA LANCAR MONTON HARAM,1
Sedikit membosankan ..tapi seru di mainkan.,5
Gam lol,1
Musuhnya terlalu jago sedangkan tim ku kurang,3
Game tolol di buat gobloknya developer ini,1
"Komposisi tim ketika solo tolong disesuaikan dengan skill pemain tersebut, masalahnya saya udah high tier malah ketemu random yang ga bisa main bagaikan sedang di low tier, SAYA FRUSTASI, tolong diperbaiki",1
Ketemu tim gak jelas sering di trol,1
Game pembawa stres game pembawa stres gw los trek Mulu moonton jangan kasih tim lol musuh kaya proplayer tapi tim gw bot plis moonton gw mau mitic gw cape stak di legen moonton plis gw mau mitic kasih tim yang sepadan moonton,1
"Game ini bgs,apalagi kalo lagi ada event dm kuning",5
Moonton ga asik ngasih dark sistem mulu jadi malas main,1
God game,3
Irfan tersakiti22 foloww akun tik tok,5
Muantapppp,5
keren,5
GAME NYA SANGAT BAGUS,5
Buwat apa sih lu gasih tim yang gak benar biyar keliyatan keren gitu biyar kami bangga gitu kagak malah nambah dosa kalah 20 kali tim nya gak benar .Mulu dah capek,1
azam bot,1
Lu yatim moonton kasih tim gblok semua kasih sinyal kek mayat lu g ada otak,1
Game ramah,5
Kalo ngasih tim yg bener monton di kasi nya ga adil mulu sampe lose trek gua nurun mulu rank nya lu kalo ngasih tin ginana sih kalo random ya kenapa musuh nya setim nya jago mulu lu kan punya otak pake dong dari dulu ga di beresin mulu ini tim ga waras trol bot ga bisa main ngapain mulu update kalo ini tim masih aja bot mulu gimana sih mana kalo kalah mpv masi di turunin lagi rank nya minimal kalo gua udah gendong 4 orang ga bisa main BOT ga nurun rank nya. atau ada konfensasi mpv kalah.,1
Menyenangkan,5
Puass,5
Waw,5
Te king game,5
"Game udah bagus, tapi ada satu hal yang saya lihat membuat banyak sekali player mobile legends berhenti bermain game ini yaitu karana sistem dark moonton, yang membuat para player jadi bosan bermain game ini, san alhasil mereka pun berpindah ke moba yang lain,",1
Oke,5
Tolong hapuskan dark sistem saya habis win streak 5 kali langsung dikasih lose streak gamenya emang udah bagus tpi tolong hapus dark sistemnya,2
game,5
ml skrng makin kesini makin kesono yaa :v,3
Bagus,5
"Game asu gak jelas ,timnya ampas ,udah salah gak mau ngaku,malah ngatain anak orang yatim ,game gak mendidik",1
Game nya mantul,5
Madep,5
Bagus banget,5
Min koleb sama Naruto aja min plis,5
"Gk usah main game ini, kena dark sistem Moonton gk adil, beri tim bottt",1
Game nya udah bagus tapi plizz hapus dark system nya plizz,5
good,5
Astaghfirullah brother,3
Sangat baik,5
plis lah kasih musuh yang sepadan dong gimana orang orang benci ml tim nya pada ngetroll yang bener sedikit lah game nya mainnin cuman buang buang kuota losetreak mulu plis lah kasih musuh nya yang sepadan sama tim nya,1
"Sangat menghibur, Moonton aku ingin Mythical Glory.",5
Siapa woy tim kreatif M5nya? Benci banget sama BLCK,1
"TOLONG DI FIXS SISTEM DRAF YA BABI, KNAPA SELALU SOLO DGN SERVER MIYENMAR. BLOG SERVER MIYENMAR BROKEN GAME BABI",1
"Kalah menang sudah biasa... Cuma yang ngeselin itu ketika ada player yang entah sengaja atau tidak sengaja.. Bermain tidak pada posisi.. Bukan hyper tapi ngebuff punya temen sendiri, pakai fighter main di mage ,gak bisa bantu teman (solo).. Yang parah lagi avk... Cuma ketika di laporkan.. Berkesan kaya gak di gubris... Di biarkan begitu saja.. Saya sering komplain.. Cuma gak ada respon... Males nya itu ya kalau lagi main terus ketemu yang beginian... Jadi pengen ngehapus game ini.",1
Terlalu banyak data,4
Mantap,5
Semakin jelek game ini main setiap hari malah lelet nya mintak ampun,1
Game bagus,5
Ngasih tim kagak jelas anj,1
Gamenya bagus banget aku kasih bintang 🌟🌟🌟🌟🌟 soalnya game nya bagusdan seru banget jangan lupa cobain mabile legend ya bye,5
Game nya bagus saya sukaa Apa lagi klw ada skin pasti lebih seruuu,5
"Dark sistem setiap hari,kapan menang nya",1
Sangat bagus gemenya,5
Apik,4
Saya sarankan!Mobile legend hanya untuk orang dewasa!!!,5
Tolong bantulah,1
Mantap,5
Di suruh kasih rating,5
Smkin di update smkin oke..,5
𝘽𝙖𝙜𝙪𝙨 𝙗𝙖𝙣𝙜𝙚𝙩 𝙘𝙤𝙮 𝙖𝙠𝙪 𝙥𝙪𝙣𝙮𝙖 𝙛𝙛 𝙨𝙖𝙢𝙖 𝙢𝙡,5
Game aneh tidak pernah memperhatikan keluh kesah pemain sehingga membuat pemain bosan,1
Good game,5
Matchmaking gk jelas Customer aj gk bisa nyeimbanging tetep sama,1
Ketemu tim yang sangat berbeda dengan musuh di ranked. Tim nya ampas dan gabisa main tapi gabisa rotasi gatau mikro makro musuhnya jago main tau cara rotasi tau apa itu mikro makro dll,1
Game yg sangat bgus,4
Good game,5
"Dapet tim macam babi, yg adil kau moontod",1
"game gak jelas match macking ampas masa team kek b0t musuh jago, gajelas dapat team aneh mulu troll mulu ajg kont0l",1
Tolong tim nya dibuat adil dong (Nickname) = DUTA BOMBE LAIN masak saya udah legeng turun epik lagi karna tim nya kurang baik nerf plisa,1
Kurangi lah drak sistem nya,1
luarbiasa,5
"Game paling ndak ngotak,dark sistem di hapus lh anjiiiiing.",1
bagusss,5
Game paling bego soal penyeimbang match,1
emang ada masalah apa di akun saya drak ghost,5
Bapakmu sapa bapak ku munton,5
Ml burik,1
Good lah mudahan di ringankan lagi biar makin lancar,5
Game Sistem cacat,2
Keren,1
Mantap,5
Game Yang Sangat Positif Wajib Kasih Bintang Lima Yee!,5
Bagus bagnget,5
👍🤝,5
Jelek kli ml skrng bnyk masalah kdng suka nge frame sndri jaringan bgs mlh JD jelek di bikinnya tim dan musuh yg tak seimbang🖕🖕,1
Bagus untuk yang bermental baja aowkkwokwk,4
Antapani,5
Terbaik,5
Bagus Min Game Nya,5
Aplikasinya bangus banget,5
Good,5
Bagus,5
bagus banget tapi sukanya waktu main classic musuhnya udah legend kadang juga udah mitik aku padahal baru gren master,5
Diamond,5
Mantap,5
P mabar,5
Ok,2
Saya main di reng berkali kali mala tim aku malah gk kompak setiap aku main paling aku yg MVP atau pedang emas dan itu membuat kesal aja deh karena kalah terus lebih banyak Tolongg di perbaiki Nama ku Steven71k bisa dilihat Bahkan malah gw yg jadi epic abadi Gara gara tim gk kompak egois mau nya kil kil dan kil sampek lupa map,2
Bagus,5
Rugi gw download game ini bukan ya makin seneng malah bikin stres game ya tolong kalo main tuh kasih tim yg seibang jangan licik musuh pro tim gw nuub susah di kasih tau tolong ya montoon kasih tim tuh seibang jangan berat sebelah pls montoon,1
game sangat keren,1
Mantap,5
👍👍👍👍,5
Moonton tolong rog 6 di unlock ultra grafik,5
Pemutihan mulu mboseni.,1
Banyak sekali peraturan yang harus diikuti jika melanggar akan mendapatkan hukuman dan perbaiki bug yang ada seperti jaringan tiba tiba merah,1
Game tolol dapet tim yang tolol Mulu goblog,1
mantap betul,5
Nice,5
"Menurut saya game ini cukup bagus, tapi... Ada kekurangan nya pas saya masuk ke game nya itu ngelag banget padahal pas saya cek jaringan saya itu full loh yaudah ini aja yang saya mau sampaiin semoga di bales ya🐽",4
sangat bagus,5
B ajaehhe,2
Aku akan comeback saat free fire tidak mengejek kamu mole,1
GAME SANGAT GG ADIK ADIK,5
Ml sangat mantap,5
Mantappp,5
Bagus,5
"Game burik kek ff anj,darks sistem",1
Bagus,3
Mantap,5
Ok bnget,5
Good,5
hebat bnget,5
Game gak jelas masa 1 tim cuma gua yang bisa main lainya boot apa gimana bikin emosi aja,1
"Tolong matchmaking solo diberikan yang bagus, ampun saya season ini ga ada yang beres main solo, musuh jago temen pada ngefeed pada ngambek afk juga banyak",3
Knp saya main cuma 10jam pas login malah ada peringatan penggunaan knp ya? Kok penjoki bisa main sampe 24 jam lah ini 10 jam lebih aja udah ada peringatan,3
ini sangat bagusssssssssssssssssss,5
"Ping Ngajol mulu, W konten Cteator yang Butuh Suport moontoon",5
Suka bangett,5
Bagus bnget gamenya,5
Good,5
Ribet kali ni moonton ngasih tim nya pada tolol semua apalagi musuh jago semua mending instan ajah gakguna game ini sumpah gak guna,1
Mantap game nya,5
Terbaik,5
Gw lagi main blockmangi tiba² muncul jadi kalah kan game sesat,1
game yang sangat2 keren,5
Monton Kon thol banyak dark sistem asu yatim lu,1
Hilangkan dark sistem,1
"Woii montoon tolong kasih tim yang bagus,",1
Permainan ini sangst bagus sekali,5
"Apaan bab1 bnyk bet drak sistem k0nt And juga lu mo gimna si smua store di buat harga weekly di naikkin ud gw doain moga cepet sepi niakun we juga sering tup up,g pernh hoki cih",1
"Good game, nice",5
Oke kan aja,5
Bagus,5
Aku butuh mode offfline 🥺🥺,5
"Tolong lah ya moonton,jngn di berat beratin apk nya,lu tau bnyk org yg suka,makin lama makin lu berat beratin apk nya,klo gini lu jdi mau sepin ml dong?",1
Kalau ngasih musuh gak sepantaran jadi kgk imbang,3
asu,1
Gem ya jelek,1
Game aneh dkit dkit di sangka afk bahkan main lama pun ttp afk mau ny apa sih skor kredit kurang sendiri,1
Game jelek karna ada darksistem ga bagus banget sih dasar montil lol,1
Kasih tim yg gg,5
Player2 yg rmah( toxic) didunia,5
Game nya sangat bagus kadang tim nya tolol dan toxic,5
kek ada bug sedikit tapi kukasih bintang lima𓆩🤩𓆪,5
Monton lol Wei bolo seng elek monton goblokkkkkkkkkk,1
Mantap,5
TOLONG YA SOAL PEMBAGIAN TIM APALAGI PAS SOLO JANGAN TEMUKAN DENGAN TIM MYANMARR ASLI DIA MAEN KEK APALAH BEBAN NYA PLS HILANGIN DARK SISTEM,1
"Komunitas tidak ramah , terlalu toxic",1
Masih banyak kekurangan dalam game jadi saya kasih bintang 2,3
Wleoo,5
semoga sukses,5
keren,5
"server jelek, semakin sampah game busuk,nggak layak di mainin, udah ngelag, fps drop, crash mulu lagi, hadeh..... moontod sadarlah.......",1
Viktori,5
Keren,5
"Game ppe lama lama muak main game ini, mactmacing tidak seimbang, tolong di perbaiki terkait sistem mactmacing, capek lose terus bbi,",1
seru,5
Mantap,3
game bikin kesal klw solo rank,1
Opo,5
Bagus,5
Bagus,5
"saya mau nanya kok gk bisa ya keluar in akun lain caranya pun gk tau aku tolong pihak ml mengajari kami bagi player baru,",1
Keren,5
Oke,5
Kebanyakan lag waktu main dan cheet,2
Mobile legend ditutup aja,1
Keren👍👍👍,5
I Like a Game.,5
Pembagian tim nggak rata,3
Kiw kiw,5
Good game,5
Game nya sangat mantap gua dikasih tim trol terus puqimak,5
"Seru banget pas buat isi waktu kosong, tapi tolong untuk player yang AFK di hukum berat Terima kasih....",5
"Gabisa ganti foto, selalu relog sendiri",1
"bug muted, kalo udh 0 detik dibisukan tapi masi di mute",2
"-Minta tolong dong min, jaringannya diperbaikin padahal jaringan saya sudah tinggi dan rom saya cukup memadai, tapi jaringan tetap LAG. -Masih banyak BUG - Sering ketemu cheater map hack, cheat damage dan masih banyak lagi.",3
Bagus,5
Good game,5
bagus,5
Game nya bagus,5
Kerennnnnnn,5
Terlalu banyak bug,3
Game kampret.. Gk fare,2
Sensor lu terlalu berlebihan ngebuat game nya ga seru lagi ditambah sekarang tier legend kyk main di epi banyak player ga jelas,4
Sangat bagus,5
Jangan didownload bikin pusing nih game,1
Game ini sangat luar biasa,5
Permainan yang sangat seru dan menantang,5
Good,5
Love,4
"Game ini mungkin membuat kesal tetapi saya tolong banget nih monton tolong banget 🙏saya naikan sampe legend aja please monton aku kalah sama teman-temanku yang udah GM, EPIC, MASTER 1 sedangkan aku masih MASTER 3 naikin aku monton sampe LEGEND aja pleaseee 🙏🙏🙏🙏🙏😭😭😭",5
"Msa klo main win nya 1× klh nya 5×, trus dapet tim ga bnr",1
masa main magic chess ga dikasih hero sinergi aneh banget ga ada keadilan di game ini titik btw aku lagi makan,1
Gamenya bagus,4
🖕gem burik ga ada rumah,1
Game mati suri,1
"Klo bagi musuh itu yg bnr,, pdhl bru naik rank udh turun lagi kasi musuh ga seimbang",1
Untuk moonton harap di up date lagi hero nya menjadi lebih baik,4
Ccok,5
Esdebes,5
Game kebanyakan bug Matcing sering tidak imbang saat rank maupun classic Banyak player bocil yg menjadi beban tim saat pertandingan MOONTOON lagi ngebadut ya...,1
Bagus,5
nice men,5
Top markotop ok,5
Mobile Lejen makin oke,5
saya. suka. sekali,5
anj kenapa losetreak mulu,1
Makin ke sini updatenya ga jelas ga guna,1
Ml mantap sekali,5
Makin kesini makin gak jelas ni game .. GAME RUSAK,1
Moonton gw cuman mau kasih tau aja kalo kasih tim tuh yg bener,1
Tolong untukk moonton legend 1 bintang 4 dapet tambahan bintang dua ehh kalah terus kalau legend 1 bintang 5 kalah jugaa tolong lah gini amat mau mytigg susah main berapa hari ketemu jokii Mulu.,1
Kebanyaka WS,5
Mantal,5
Jadi Lola .. kebanyakan yg diperbarui,4
Mantap,5
Monton ajg,1
okkkk,5
Game nya bagus dan keren,5
MOONTOD ANJENK DI KASIH TIM GA GUNA SEMUAAAA,1
"Sangat bagus saya suka dengan skin animasi dan lainnya, tapi saya selalu terkena drak sistem sehingga saya tidak bisa naik pangkat maka itu mohon ngasih musuh dan tim yang ngotak dikit ya",5
"Propesionaly, it'oke, good game",4
Jaringan sangat eleg,1
rorr,5
Burik banget sih gem ini,5
Ml ajg jan kasi tim bbn mulu napa nick gw Gdpawang cek aja asuuuuu,1
Game t4i,1
Seru,5
Gamenya Ramah Bagus Dan Sopan,5
Game bagus buat mengisi waktu luang kualitas bagus,5
Ml bagussssss benget ✌︎,2
Bapak lu mati monntod,1
Ok,5
"Udah top up banyak malah dapat skin ampas Ducati Benedetta, udah jelas Hero favorit gw irithel malah dapat Benedetta, ampas lah",1
"YA ALLAH SEMOGA DIKASIH SKIN BAGUS, SELAMA INI DIKASIH SKIN AMPAS TUHANN :)))",5
maantap,5
makanya Download epep,1
seru sekali kalian harus Download,5
Game a*****bg***akun gua di ban a*** mana ada misi DM kuning a*** p****,2
Sangat puas,4
Game. Tae,4
Bagus saya kasi bintang 5🤗,5
Sangat jelek,1
Gamenya bagus dan bisa menghibur,5
Tidak ada keadilan nya statistik maupun tim in match,1
Game mantap,5
Monton kasih gua menang trus lah,5
Game sangat keren,5
Rank kok lejen,5
Mantap,5
Seru bgt,5
Game nya ga seru selalu dapat tim yang ga guna kadang kadang buuf hyper di ambil sama maksmen makanya kalah hyperbkalah uwang,1
"Semakin memakan Ram gde, sering lag pulaa, dan skrang nge blang gk bisa di mainin ya jd di hapus aja lah..",4
"Tolong benahi sistem player nya dong, masa di mitik dapet team kaya rasa epic hadeuhhh",2
MOONTON KONTOOOOOOL,1
"Suka dengan games ini,namun sering macet tombol kontrolnya.",5
sistem monton kurang adil dalam pemilihan teman di dalam pertandingan Sistem mact making makin gak karuan,1
game naik daun,5
Nice,5
Menghibur,5
Dari dulu terkendala jaringan,1
Mantab mobile legend,5
Mantep minn,5
Gamennya sangat menghibur,5
Ok,4
Main dari season 4,5
Kasi lawan yang anu mudah okeii 😍,5
Gapernah kasih tim bagus,1
bagus gemnya tapi pas penurunan winret saat kalah winret 67 nambah cuma 68 kalo turun malah ngurang banyak misal winret saya 70 saya kalah jadi 67 gimana sih gak adil,4
Moonton anjinkkkkkkmm,1
Nice,5
Makasih maaf telat,5
Terimakasih legenda seluler sudah memberikan pengalaman yang sngt bruk.,1
"macthing g adil, sering nipu soal hadiah event, moga bangkrut",1
Kadang aneh,4
Kepada Developer Game tolong untuk lebih memperhatikan keseimbangan matchmaking saya sering bertemu dengan tim yang lemah dan lawan yang terlalu kuat. Hal ini yang membuat saya sering mengalami kekalahan.,1
Gem kayak ayam nggak Adil sama sekali,1
"Berat berat Kolo solo Mabar di temui bocah bocah sok jago, elit bacot sulit ngekit.. ga jelas moonton... Dah lah males main lagi hapus aja.",2
Mantappp,5
Bagus,5
Mantap pokonya best,5
Awesome. I'm really enjoy the game.,5
Good,4
Hey montood.. bug skill 1 beny sangat mengganggu d komender Ling skil 2... Bug nya ganggu banget.. kalo nggk d perbaiki mending hapus aja magic cs ny..,2
Heh anzing sia giliran ka aig mere tim anu tolol giliran ka musuh anu jago monyettt aig naek turun bintang wae === jgn download ml ini game anzing,1
bagus sekali. sangat menghibur dan sangat menyenangkan. apalagi saat kumpul teman teman bisa diajak main bareng. untuk,5
Game nya sangat bagus!!!!!,5
Muantap,5
Gamenya bagus,5
Monton kasihlah lawan yang seimbang saya ditrol Mulu cape saya monton dan kalo adyang joki harap akunya kena heak,2
Gas,4
gim toksik,5
Game yg keren,5
Ngasi tim yg ngotak dikit monton biawak,1
masa saya harus dsuruh bermain tank terus saya bukan pemain jago yang sperti mereka inginkan saya hanya bisa layla dan miya itu pun hero favorit saya tolong kasih saya tim yang tidak memaksa saya memilih tank apakah saya harus egois dlu,1
sinyal masih jelek,3
cakeppp,5
"Anj disengaja lag biar gk menang,montoon!!!!🖕🖕",1
Game apa ini dapat tim beban terus udah 10kali lose streak mulu ngasih tim yang bener Dikit lah,1
Mantap,5
Seru,5
Bagus game nya Semangat terus moonton,5
jam tertentu jaringan sering lag walau sudah bagus,2
Ini kalo kalian tau kan bikin emosi tapi makin lama saya makin mytich,5
Dulu ini game nya bagus aja tapi sekarang LEGG NYA MINTA DITAMPOL... Padahal game lain yg aku maiinin ga gini cuma ml aja :),1
Mantap,5
Game yg selalu ngasih player beban,5
Apik,5
Sangat menghibur,5
Tidak seruh lagi banyak dark system,2
Bagus,5
Game nya seru tapi. Pertemuan solo nya itu kadang..???,4
"sering lag, patah2 waktu war",2
Game ini saat seru bagget dan animasinya lobby ada Nolannya ada juga skin yg kerennnnnnnnnnnn,5
Good,4
update server dong jaringan tuh benerin,2
👍🏻👍🏻👍🏻,5
Lumayan,4
Ga bnerrr,1
Gamenya seru tapi bikin kesal sekali download kalo kamu ingin rasain kesal nya bagai mana jangan di hapus,5
saya punya saran agar ifik dari skin gratis sama yang benar beli dengan diamon harus di bidakan damege nya. agar pelanggan yang sudah rugi beli diamon tidak merasa sia-sia atau rugi karna buat apa beli skin jika sama saja demege nya sama skin yang gratisan ataupun treal...🙏🙏🙏,5
Mantap,5
bagus,5
Bagus pokoknya,5
keren,5
Oke,5
Nice game.,5
Bagus buat kegabutan saya,5
Monton anjg masa gua lostrek mulu bgsdt,1
Game ***** mau nyelamatin turret aja tiba tiba ngelag gj banget,1
Gamenya seru cuma yang bikin kesel tu sama musuh nya yang suka kroyokan dari semak-semak,4
Games yang menambah kesabaran,4
timnya gajelas ga imbang tim ama musuh,1
Sedang ada kendala dark system di MLBB jangan bermain sebentar ya ntar kecanduan dibuat kalah,4
Bisakah anda memneri saya tim yg hebat saya lelah,4
Gak ada kata kata ada nya game ml bagus 🗿,5
Good,5
Good,5
monton tololllll,3
Game nya bagus banget,3
Good,5
Ok,5
Match making kadang lambat,3
bagus banget game nya aku suka dan adikku juga suka dan kakak ku juga suka kita mabar setiap sore dan hari libur,5
"Ml akhir² ini lgi knp ya masa pas lgi screen 5v5 malah login ulang, apa karena penyimpanan?, tpi penyimpanan masih ok² aja, apa karena game rusak? Game c@cat ?",1
Ya kalo lu masih ngasih tim troll atau dikasih tim wr rendah mendingan geme lu hapus aj di server indo gk usah di indo baru kali ini gw main geme moba rendahan mana akun gw gk dikasih hoki tolol geme sampah,1
Good,5
no coment,5
Good,5
Kerennn,5
Game nya keren tapi gua kesal Kenak lose straik 5 kali,1
Gem ini sangat bagus.baik untuk main sendiri atau Mabar,5
Game nya bagus tapi sinyal nya bikin gw jijik sinyal padahal bagus tapi malah lag emang aneh,1
Mohon aktif diskon dana nya,4
"Tolong lah dishortir itu pemainnya, masak gk bisa liat banyak nya pertandingan dan banyak nya report",2
Yabnjj,5
Game nya keren,5
Ngerusak kepala gem nya salut Ama tim yang ga seimbang sama lawan,1
Seru game nya pen 24 JM aj main tp ngaji SM sklh😭,5
bagus,5
Geme ruksak sy selalu di hina di dlam geme dan byk yh beban ga seiimbang,1
"Saya tidak bisa berkata kata lagi, setelah saya download dan saya mainkan ternyata bikin ketagihan main terus dan main terus",5
Mantap,5
Ngasih tim yg bener dikit lol,1
baik,4
Nice,5
